date,city,aqi_estimated,pm25,pm10,ozone,no2,co,temperature,humidity,wind_speed
2025-10-04,"Delhi, India",120,43.3,66.1,76.4,6.6,359.9,26.1,89,1
2025-10-03,"Delhi, India",151,56.3,67.7,82.4,8.2,536.5,26.1,89,1
2025-10-02,"Delhi, India",150,33.8,41.1,85,5.8,437,26.1,89,1
2025-10-01,"Delhi, India",84,27.7,38.2,54.6,10.9,520.7,26.1,89,1
2025-09-30,"Delhi, India",89,24,30.3,66.6,7.2,421.4,26.1,89,1
2025-09-29,"Delhi, India",96,33.5,42.8,62.5,9.9,427.6,26.1,89,1
2025-09-28,"Delhi, India",112,23.5,29.2,74.2,5.2,284.2,24.4,88,1
2025-09-27,"Delhi, India",155,49.4,57.7,87.4,4.4,358.9,25.2,94,0.4
2025-09-26,"Delhi, India",145,53.2,94.7,72.6,11.1,393.1,25.3,95,1.8
2025-09-25,"Delhi, India",84,26.6,65.6,65.1,8.8,258.6,27.9,88,0.7
2025-09-24,"Delhi, India",93,18.9,45.8,67.8,6.2,205.4,23.6,94,1.2
2025-09-23,"Delhi, India",93,19.4,45.3,67.9,6.7,216.8,30.3,93,0.1
2025-09-22,"Delhi, India",106,21,49.7,72.4,4.9,196.4,30.2,85,0.9
2025-09-21,"Delhi, India",83,21.6,54.5,64.7,5.4,204.9,26.1,82,1.4
2025-09-20,"Delhi, India",78,24.8,65.7,56.7,6.3,224.4,22.7,80,0.9
2025-09-19,"Delhi, India",89,30.2,68.3,51.9,10.5,326.6,29,88,1.7
2025-09-18,"Delhi, India",55,35.4,63.9,48.8,11.2,397,29.2,93,1.5
2025-09-17,"Delhi, India",99,34.8,58.4,50.1,11.5,398,26,81,1.6
2025-09-16,"Delhi, India",81,26.4,44.7,47,10.8,347.1,27.4,80,1.6
2025-09-15,"Delhi, India",63,17.8,35.2,52.7,7.2,235.6,23,88,0.8
2025-09-14,"Delhi, India",60,16.5,36.1,56,5.2,195,23.8,84,0.5
2025-09-13,"Delhi, India",59,16.1,37.1,45,7.3,236.2,23.4,86,1.7
2025-09-12,"Delhi, India",55,13.9,32.1,47,6.3,208.1,30.1,80,2
2025-09-11,"Delhi, India",56,13.4,33.7,56.5,4.5,171.1,26.9,92,0.1
2025-09-10,"Delhi, India",80,13.5,34.9,64,3.3,158.1,23.5,81,0.6
2025-09-09,"Delhi, India",86,16.2,33.5,65.6,4.6,208.1,28.2,96,0.5
2025-09-08,"Delhi, India",62,17.4,25.9,47.5,7.9,308,21.6,83,1.1
2025-09-07,"Delhi, India",55,14.2,17.7,55.4,3.8,204.4,24.1,90,1.6
2025-09-06,"Delhi, India",54,13.5,15.5,51.9,3.7,258.1,26.2,89,1.2
2025-09-05,"Delhi, India",102,27.9,28.9,71.2,4,342.2,27.3,92,0.6
2025-09-04,"Delhi, India",82,26.8,29.6,44.6,11.1,411.4,30.5,80,1.6
2025-09-03,"Delhi, India",93,32.1,34.8,32.2,11.4,532.7,26.4,89,1.3
2025-09-02,"Delhi, India",63,17.9,21.3,31.3,9,417.3,27.3,94,0
2025-09-01,"Delhi, India",38,9.2,11.8,30,7,316.6,25.7,98,0.6
2025-08-31,"Delhi, India",58,15.5,17.5,27.1,10.1,438.2,23.4,82,1.1
2025-08-30,"Delhi, India",70,21.3,24.8,30.6,11.6,549.6,21.9,86,0.8
2025-08-29,"Delhi, India",87,29.3,32.3,36.3,11.5,558.7,25.1,88,1.8
2025-08-28,"Delhi, India",65,18.8,23.2,34.6,12.3,507.7,25.2,87,0.5
2025-08-27,"Delhi, India",94,32.7,37.9,47.5,11.1,478.7,27.7,94,1.5
2025-08-26,"Delhi, India",88,29.8,34.3,35,12.2,532.3,30.7,94,1
2025-08-25,"Delhi, India",91,31,35.7,18.7,16.7,696.8,30.8,86,1.3
2025-08-24,"Delhi, India",87,29.2,31.6,28.5,13.3,620.6,22.1,84,0
2025-08-23,"Delhi, India",78,25,26.8,24.8,15.1,625.6,30.3,85,1.3
2025-08-22,"Delhi, India",62,17.2,21.3,27.2,19.5,535.6,25.8,82,0.1
2025-08-21,"Delhi, India",70,20.9,24.5,39.9,12.9,504.1,26.5,90,0.1
2025-08-20,"Delhi, India",59,15.9,17.8,56.7,8.1,342.1,30.9,86,0.5
2025-08-19,"Delhi, India",126,36.3,39.1,78.2,5.6,344.3,30.3,81,0.5
2025-08-18,"Delhi, India",102,35.9,40,71.3,6.5,368.4,30.8,81,1.3
2025-08-17,"Delhi, India",95,24.8,27.6,68.6,6,352.3,28.7,90,1.8
2025-08-16,"Delhi, India",79,25.4,28.7,60.2,8.6,431.1,26.2,95,1.2
2025-08-15,"Delhi, India",153,60,65.3,63.7,10.4,654.6,24.2,95,0.4
2025-08-14,"Delhi, India",118,42.3,47.5,45.2,11.9,538.4,30.7,97,1
2025-08-13,"Delhi, India",52,12.6,19.4,24.4,13.7,313.6,26.1,98,1.7
2025-08-12,"Delhi, India",47,11.2,25.1,32.7,10.8,238.5,30.3,99,0.1
2025-08-11,"Delhi, India",46,11.2,26.3,38.7,8.2,198.3,26.4,99,1.7
2025-08-10,"Delhi, India",58,15.5,39.8,39.1,8.8,217.6,24.7,80,1.3
2025-08-09,"Delhi, India",58,15.5,33.3,39,8.3,220.2,23.1,86,1.8
2025-08-08,"Delhi, India",62,17.3,42.8,26.4,14.2,304.3,29.1,81,0.9
2025-08-07,"Delhi, India",55,13.9,42.3,52.5,6.6,184.8,26.4,87,0.8
2025-08-06,"Delhi, India",53,13.2,30.4,50.9,7.8,214.2,21.6,80,1.3
2025-10-04,"Los Angeles, USA",145,5.4,18.6,83.5,0.6,102.1,23.6,60,7.2
2025-10-03,"Los Angeles, USA",152,3.2,14.1,86.4,0.4,96.8,23.6,60,7.2
2025-10-02,"Los Angeles, USA",147,2.9,9.2,84,0.3,93.7,23.6,60,7.2
2025-10-01,"Los Angeles, USA",137,3.1,8.4,81.2,0.3,90.9,23.6,60,7.2
2025-09-30,"Los Angeles, USA",130,3,7.7,79.2,0.2,88.7,23.6,60,7.2
2025-09-29,"Los Angeles, USA",15,3.5,8.8,85.9,0.2,93.5,23.6,60,7.2
2025-09-28,"Los Angeles, USA",21,5.1,14,86,0.2,94.6,27.2,58,8
2025-09-27,"Los Angeles, USA",165,4.1,11.4,91.5,0.2,100,22,63,7.5
2025-09-26,"Los Angeles, USA",174,5.3,13,95,0.4,105.5,23.1,53,7
2025-09-25,"Los Angeles, USA",158,9.4,24.9,88.7,0.4,98,19.1,54,8
2025-09-24,"Los Angeles, USA",137,7,15.9,81.2,0.4,96.1,22.1,59,8
2025-09-23,"Los Angeles, USA",132,8,15.9,79.9,0.5,99.9,27.8,68,6.7
2025-09-22,"Los Angeles, USA",149,8.6,21.3,84.6,0.4,99.5,19.5,60,8.2
2025-09-21,"Los Angeles, USA",163,10.2,24.9,90.8,0.5,114.3,19.4,69,6.7
2025-09-20,"Los Angeles, USA",166,13.3,28.9,91.7,0.4,111.3,24.2,68,6.5
2025-09-19,"Los Angeles, USA",147,9,18.3,84.2,0.4,98.9,23.4,51,7.1
2025-09-18,"Los Angeles, USA",137,4.6,6.4,81.3,0.4,95.4,22.1,66,7
2025-09-17,"Los Angeles, USA",150,6.8,11.1,84.9,0.5,99,28.4,53,6.7
2025-09-16,"Los Angeles, USA",178,8.3,14.5,96.3,0.3,97.3,26.7,53,7.6
2025-09-15,"Los Angeles, USA",148,5.7,12.8,84.5,0.3,88.3,25.9,66,6.7
2025-09-14,"Los Angeles, USA",142,5.4,15.3,82.7,0.4,88.5,24.5,55,6.5
2025-09-13,"Los Angeles, USA",140,5.1,17.8,82.1,0.4,86.9,26.5,53,6.4
2025-09-12,"Los Angeles, USA",124,4.6,16,77.5,0.4,92.4,24.7,54,7.2
2025-09-11,"Los Angeles, USA",122,3.6,12.2,77.1,0.4,92.8,27,53,7.7
2025-09-10,"Los Angeles, USA",109,3.1,10,73.3,0.4,76.6,24,56,7.9
2025-09-09,"Los Angeles, USA",103,2.9,9.8,71.6,0.4,79.7,22.1,62,7.9
2025-09-08,"Los Angeles, USA",97,2.5,9.2,69.2,0.4,82.7,25.8,51,7.6
2025-09-07,"Los Angeles, USA",115,4.4,13,75.1,0.5,82,26,63,6.9
2025-09-06,"Los Angeles, USA",138,4.3,13.7,81.6,0.4,88.9,23.7,60,6.8
2025-09-05,"Los Angeles, USA",132,4.7,15.3,79.8,0.4,92.5,24.5,58,6.7
2025-09-04,"Los Angeles, USA",128,5.3,17.7,78.7,0.4,85.1,20.5,64,6.8
2025-09-03,"Los Angeles, USA",126,6.3,21.6,78.3,0.4,78.9,21.2,51,7.1
2025-09-02,"Los Angeles, USA",109,7.2,23.9,73.4,0.4,75,22,51,7.4
2025-09-01,"Los Angeles, USA",89,8.8,21.2,66.5,0.5,75.3,23.9,64,7.3
2025-08-31,"Los Angeles, USA",90,8.5,22.6,67,0.5,73.1,19.8,61,6.8
2025-08-30,"Los Angeles, USA",119,7.2,21.6,76.2,0.5,81.9,24.4,67,6.9
2025-08-29,"Los Angeles, USA",128,5.5,14.9,78.7,0.5,86.3,25.8,66,8.1
2025-08-28,"Los Angeles, USA",109,5,11.6,73.3,0.5,82.9,22.7,58,6.8
2025-08-27,"Los Angeles, USA",19,4.5,11.3,70.9,0.3,81.7,21.4,62,6.4
2025-08-26,"Los Angeles, USA",99,4.4,12.4,69.6,0.3,82.4,22.7,60,6.2
2025-08-25,"Los Angeles, USA",113,5.4,16.1,74.3,0.3,86.1,23.7,59,7.3
2025-08-24,"Los Angeles, USA",133,7.7,21.5,80,0.4,95.6,21,68,7.8
2025-08-23,"Los Angeles, USA",136,10.3,23.9,81.1,0.5,102.8,27.7,55,6.7
2025-08-22,"Los Angeles, USA",105,11,21.2,72.1,0.5,100.1,24.8,64,8.2
2025-08-21,"Los Angeles, USA",91,9.6,21.6,67.2,0.5,91.6,26.4,64,7.3
